compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio
80722021,664166.0,1752055.0,2593866.0,283477.0,311219.0,800000.0,800000.0,17444.0,1383266.0,2282647.0,1355756.0,1129362.0,226394.0,193619.0,1468578.0,35290.0,-233.0,32775.0,462.0,63360.0,63822.0,1664.0,70479.0,-19853.0,0.0,-1131990.0,0.84,1.0,6.91,138.14,1.59,1.78,-12.78,-0.77,618.06,500.24,1.06,0.03,13.63,12.0,88.0,317.17,0.0,0.0,4.1,7.92,9.6,90.4
80722022,702996.0,1709693.0,2533993.0,137245.0,168794.0,800000.0,800000.0,17722.0,1451795.0,2365199.0,1231209.0,1007807.0,223402.0,196543.0,1572448.0,29984.0,3870.0,26859.0,0.0,130921.0,130921.0,56163.0,-15049.0,-24109.0,0.0,-1211733.0,0.8,1.0,8.32,10.555,4.22,4.66,-30.4,1.02,1245.72,1073.29,0.0,0.0,7.14,6.66,93.34,331.59,0.0,0.0,3.36,16.37,15.41,84.59
81012014,3889323.0,12746224.0,15536475.0,10756734.0,11094412.0,4187636.0,4187636.0,46124.0,258430.0,4442063.0,27042571.0,24993745.0,2048826.0,1625413.0,1989490.0,861965.0,0.0,423413.0,129815.0,247481.0,377296.0,-1066978.0,-8988.0,1364588.0,3627449.0,-261874.0,0.55,1.03,1.93,2.91,1.65,6.03,12.28,-14.6,118.5,87.3,44.37,0.43,249.76,71.41,28.59,247.54,81.66,0.0,10.11,5.91,100.0,0.0
81012015,3201935.0,9729954.0,13233169.0,8426652.0,9190309.0,4186276.0,4186276.0,32598.0,-98875.0,4042860.0,20539592.0,19257459.0,1282133.0,1413227.0,1303302.0,857697.0,0.0,-131094.0,88331.0,-319268.0,-230937.0,45239.0,-1123190.0,318558.0,3956924.0,754989.0,0.55,1.0,-10.76,-2.61,-2.44,-8.27,9.44,0.61,115.47,80.34,-30.66,0.37,227.32,69.45,30.55,214.64,97.87,0.0,-3.13,-7.63,38.185,0.0
81012016,1595482.0,10032169.0,13114660.0,9990509.0,10617633.0,4161776.0,4161776.0,32471.0,-1656458.0,2497027.0,21109430.0,20572568.0,536862.0,1479928.0,41660.0,813123.0,0.0,-943066.0,129319.0,-1391382.0,-1262063.0,-743644.0,-160878.0,-710986.0,4820923.0,3225441.0,0.53,1.0,-0.57,-9.76,-11.73,-47.28,-18.28,-12.92,100.42,48.47,-8.96,0.57,425.21,80.96,19.04,176.82,193.07,0.0,-22.66,-33.43,38.185,0.0
81012017,1155423.0,6409804.0,9412336.0,7100474.0,7588342.0,4161776.0,4161776.0,32443.0,-2331155.0,1823994.0,16330340.0,15775714.0,554626.0,1328765.0,-690670.0,694348.0,0.0,-774139.0,159960.0,-722644.0,-562684.0,418964.0,-281851.0,-598626.0,3160013.0,2004590.0,0.51,1.0,0.74,-3.52,-6.12,-31.91,34.37,8.88,90.27,43.69,-29.16,0.92,416.03,80.62,19.38,138.84,173.25,0.0,-18.6,-17.36,38.185,0.0
81012018,449331.0,2330514.0,4151393.0,2607664.0,3024632.0,2080888.0,2080888.0,32443.0,-956196.0,1126761.0,8179964.0,7950538.0,229426.0,1267249.0,-277150.0,750822.0,11044.0,-1037823.0,81216.0,-714227.0,-633011.0,40634.0,1094711.0,-1894425.0,1238934.0,789603.0,0.46,1.0,0.74,-7.79,-10.29,-47.28,-70.68,1.11,89.37,46.33,-12.51,0.94,268.44,72.86,27.14,162.79,109.96,0.0,-49.87,-34.32,38.185,0.0
81012019,238527.0,1829262.0,3152894.0,1878972.0,2101416.0,2080888.0,2080888.0,32443.0,-1003310.0,1051478.0,2443687.0,2266095.0,177592.0,748406.0,-49710.0,404091.0,1905.0,-570814.0,34725.0,-52877.0,-18152.0,-279017.0,545853.0,-532261.0,716611.0,478084.0,0.68,1.0,0.74,-0.52,-2.06,-6.91,-30.41,-8.97,97.35,67.84,-138.36,1.16,199.85,66.65,33.35,174.35,68.15,0.0,-27.43,-2.54,38.185,0.0
81012020,154717.0,1496866.0,2603954.0,1879671.0,2190168.0,2080888.0,2080888.0,32443.0,-1642305.0,413786.0,3056058.0,3139762.0,-83704.0,614621.0,-382805.0,326446.0,-4414.0,-698325.0,22018.0,-643347.0,-621329.0,-465661.0,214956.0,166885.0,889218.0,734501.0,0.66,1.0,0.76,-28.22,-22.17,-87.11,-111.82,-18.12,79.63,49.58,-3.52,0.39,529.3,84.11,15.89,138.02,214.9,0.0,-33.56,-30.92,38.185,0.0
81012021,103225.0,383626.0,1073854.0,505630.0,663354.0,2080888.0,2080888.0,32443.0,-1638919.0,410500.0,737512.0,827403.0,-89891.0,449880.0,-122004.0,224188.0,5326.0,-539771.0,35507.0,18870.0,54377.0,-276418.0,195419.0,31607.0,193382.0,90157.0,0.76,1.0,0.29,1.53,-0.18,-0.8,-87.36,-17.59,75.87,35.59,117.38,2.93,161.6,61.77,38.23,341.59,47.11,0.0,-25.94,0.91,100.0,0.0
