compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio,tcri,cluster
81102015,0.952573158,0.316214055,0.802088664,0.394352529,0.782953575,1.115157129,1.115575343,-0.253774942,0.14971381,0.788297097,0.596397079,0.473686285,-0.158931403,0.015080442,-0.106690408,0.357494709,0.028561309,-0.04477648,0.968638013,-0.031840661,-0.028111894,0.393815162,-0.208308863,-0.371796902,0.869275986,0.106797565,-0.70377335,-0.554836049,0.254946065,-0.010226142,-0.24802937,-0.236031463,0.058385979,0.430014682,-0.341524957,0.040603783,0.007533101,0.991656277,0.304533659,0.355495037,-0.327039571,-1.053393036,0.676321043,-0.210824248,-0.326837015,-0.317092095,-0.489564916,0.053349656,6,1
81102016,0.900712825,0.414699046,0.811861428,0.666346711,0.766205497,1.11483571,1.115255,-0.253836437,0.189660772,0.833397595,0.66937364,0.51756791,-0.089380081,0.059187855,-0.194789272,0.475759931,0.028561309,0.02694211,0.847431195,0.036023971,0.03393059,0.297762255,-0.270350092,-0.250275222,0.816129145,0.083610132,-0.602076308,0.002729924,0.054132792,-0.00982074,0.019085544,0.035022764,0.072066902,0.305172316,-0.821210652,-0.275713496,-0.013529325,0.678839991,0.219030038,0.253169521,-0.222208922,-1.118246266,0.547993606,-0.210824248,-0.138543143,-0.142122982,0.972752587,-0.038611586,6,1
81102017,0.873184729,0.410300114,0.843483791,0.452558185,0.636903926,1.183429015,1.183598615,-0.156206141,0.25947908,1.032226648,0.724446215,0.544741,-0.018881213,0.109887468,-0.07816314,0.484782531,0.028561309,0.09804566,0.712912155,0.09269199,0.085745986,0.339711715,-0.29443857,-0.286243607,0.668796079,0.014266638,-0.412044331,-0.00357661,0.0236135,-0.00930599,0.787006309,0.70354042,0.076462376,0.32109908,-0.293289012,0.038279269,-0.018422213,0.494276162,-0.246932469,-0.308368387,0.341209031,-0.90221945,0.145427657,-0.210824248,0.011176547,-0.033731866,-0.360423282,0.044279112,6,1
81102018,0.979281608,0.452405205,0.881031308,0.608850817,0.664064312,1.183429015,1.183598615,-0.146907239,0.257652335,1.078835574,0.65286972,0.504193447,-0.099615275,-0.017391187,-0.134514199,0.383416517,-1.349918638,0.023730248,0.620836177,0.036326151,0.027376465,0.322242147,-0.340941891,-0.073758439,0.711457444,0.012099151,-1.039270233,-0.001211212,0.054311102,-0.009528601,0.343335475,0.221890133,0.069626433,0.213610506,-0.591028438,-0.042090635,-0.016419956,0.405748435,-0.258665446,-0.322163491,0.354793739,-0.887825487,0.168873277,-0.210824248,-0.166318436,-0.163919421,0.577070485,-0.015006188,6,1
81102019,0.817899557,0.35221929,0.879532248,0.248752307,0.561889899,1.152942602,1.153228154,-0.150260579,0.257528205,1.150174802,0.47932737,0.409309747,-0.26360958,-0.141198097,-0.029605123,0.186972054,0.042708117,-0.206566072,0.635071394,-0.044642236,-0.052426715,0.204362446,-0.09712899,-0.403055721,0.590261207,-0.016591476,-1.204855666,-0.013438613,-0.126925164,-0.010172285,0.507192909,0.324051236,0.059346248,0.085930472,0.067286411,0.353257322,-0.006360974,0.521940858,-0.513892705,-0.620560149,0.645509791,-0.642650017,-0.06368101,-0.210824248,-0.601238029,-0.354755831,2.062557674,-0.108730074,6,1
81102020,0.717863627,0.444411702,0.912135364,0.54207369,0.624830261,1.152942602,1.153228154,-0.150260579,0.290001746,1.164035779,0.393558794,0.302716231,-0.225742268,-0.35686727,-0.101772955,0.054605243,0.028561309,-0.101661441,0.566213888,-0.025496078,-0.03522701,0.098612724,-0.303685169,0.232337886,0.682503855,0.022790107,-0.884196709,-0.022521335,-0.46236219,-0.009965679,-0.266524977,-0.296207716,0.016067805,-0.018017403,-0.441241315,-0.117191602,-0.013425153,0.503594889,-0.42755107,-0.521115259,0.54929799,-0.704168759,0.055991674,-0.210824248,-0.439965285,-0.306178012,2.062557674,-0.108730074,6,1
81102021,0.871332821,0.817341645,1.044030136,0.763664351,0.950373863,1.176465246,1.17666204,-0.152490697,0.320259428,1.116469691,0.614927177,0.504926974,-0.179386519,-0.097429844,0.075349607,0.031194912,0.028561309,-0.056378229,1.155026228,-0.029673901,-0.016258088,0.025755817,-0.484211978,1.114119527,0.915769145,0.119874312,-0.412044331,-0.066535594,0.485041383,-0.01027189,-0.793365554,-0.698948345,-0.022050347,-0.118877193,-0.201406144,-0.053377423,0.020181475,0.981953053,0.183703483,0.210674916,-0.178868735,-0.711275469,0.437464865,-0.210824248,-0.359940339,-0.320033944,0.832240908,-0.030248792,6,1
81102022,0.9216774,0.791777111,0.965463875,0.775694321,0.873871512,1.170448168,1.17066812,-0.142383651,0.350077826,1.037082292,0.730231943,0.597832591,-0.108462826,0.085023981,0.038772498,0.230570485,0.028561309,0.003204966,1.312510278,0.004019914,0.027219065,0.224858721,-0.031328981,-0.36503202,0.825852673,0.072254923,-0.999553345,0.057777661,0.081170216,-0.010220482,-0.901389964,-0.82027514,-0.024420568,0.102949377,-0.282703118,-0.059901019,0.020066027,1.081042931,0.150411395,0.170707188,-0.138210034,-0.809649801,0.375392144,-0.210824248,-0.212850899,-0.236982751,0.853655885,-0.03152362,6,1
81122014,0.100253979,1.121748768,0.742640377,0.910215945,0.899473518,0.54914562,0.550196932,0.238736052,-0.136695927,0.393144294,2.045521791,2.469701715,-0.016616049,0.677980055,0.372660225,-0.144051971,0.028561309,0.004255107,1.056025011,0.019114005,0.026203088,-1.253616944,0.036425229,1.20435684,0.957624358,0.234300782,-0.183353814,0.018087191,-0.003893728,-0.010059906,0.054538978,0.295014559,-0.226648559,-2.489378901,0.087602546,0.051649828,-0.0059074,-0.543360684,1.013864115,1.141746383,-1.155096436,1.574958715,1.237148883,-0.210824248,-0.036802851,0.01275339,-1.124262592,0.120941079,6,1
81122015,0.136167995,1.148771546,0.78280511,0.885972635,0.916167747,0.650921263,0.652035032,0.274184823,-0.135410715,0.482368745,2.390125358,3.109590839,0.009107822,0.646771584,0.441468592,-0.000117075,0.028561309,0.040098274,1.271904996,0.038105044,0.057765168,-0.154459423,0.07013181,0.022229141,0.955700076,0.231388893,-0.536821459,0.016512992,-0.008615891,-0.010117235,0.064347857,0.313910405,-0.250067406,-0.586829677,0.193730921,0.202788574,-0.003442456,-0.566934294,0.929854797,1.056191475,-1.062990717,1.624681234,1.136359723,-0.210824248,0.084726005,0.049610126,-0.91049138,0.087219631,6,1
81122016,0.171110862,1.707873561,1.305176346,1.809180977,1.459993365,0.841495332,0.842524788,0.346979289,-0.025038748,0.744238764,2.70647663,3.736728349,0.285257059,0.833569992,0.295599767,-0.013124064,0.028561309,0.294764841,1.524877389,0.27695894,0.314009513,-4.961912422,0.065318864,5.054543591,1.519019738,0.76156176,-0.05304363,0.000365419,-0.014973502,-0.009804583,0.204107006,0.81070588,-0.297126802,-8.468311458,-0.685890165,-0.318050223,-0.012654167,-0.543360684,1.608933474,1.667127589,-1.732668877,1.53703517,1.816065292,-0.210824248,0.892176017,0.747403901,-0.770965291,0.074897733,6,1
81122017,0.565052779,1.623251806,1.225734486,1.535587135,1.35701254,0.892310439,0.893271347,0.367363064,0.047254081,0.792381485,2.791750263,3.921559724,0.331369774,0.816651199,0.719179526,0.049500913,0.028561309,0.34983654,1.884197064,0.322232018,0.402879725,0.623883439,0.099781566,-1.098645379,1.400944852,0.589147233,0.115050335,0.005881797,-0.01269887,-0.010005621,0.044742308,0.557010396,-0.237409686,2.851039161,-0.236621285,-0.165402217,-0.008208747,-0.212683934,1.346337908,1.452497249,-1.494108789,1.760101958,1.553900446,-0.210824248,1.004403482,0.823517408,-0.567938117,0.059060414,6,1
