Date;BTC;LTC;XRP;DOGE;DASH;ETH;ETC;ZEC;BCH;BSV
2018-11-19;4871,4902343750;36,6411018372;0,4781660140;0,0024180000;109,6869964600;149,1750030518;6,1979699135;98,8935012817;336,9549865723;72,1134033203
2018-11-20;4451,8701171875;33,0442008972;0,4347259998;0,0022539999;104,5780029297;130,3390045166;5,5026397705;84,4962997437;223,7019958496;50,6618995667
2018-11-21;4602,1699218750;34,6706008911;0,4476509988;0,0024480000;114,3119964600;136,7010040283;5,7520599365;85,8070983887;235,9510040283;50,7468986511
2018-11-22;4365,9399414062;32,1950988770;0,4260799885;0,0024120000;103,3389968872;126,7060012817;5,3401198387;78,8566970825;211,4680023193;42,7513008118
2018-11-23;4347,1098632812;32,1596984863;0,4074279964;0,0023610000;99,3181991577;123,2959976196;5,2125601768;77,5978012085;207,4259948730;54,0298004150
2018-11-24;3880,7600097656;29,2176990509;0,3753359914;0,0022239999;92,6626968384;113,4940032959;4,7660999298;67,7521972656;180,6889953613;58,5022010803
2018-11-25;4009,9699707031;30,8922004700;0,3745509982;0,0022199999;91,4475021362;116,4499969482;4,7646999359;70,2795028687;184,5839996338;87,3835983276
2018-11-26;3779,1298828125;29,4109992981;0,3554509878;0,0020989999;88,9282989502;108,3349990845;4,3157501221;66,2503967285;182,0429992676;111,6969985962
2018-11-27;3820,7199707031;31,0687999725;0,3601630032;0,0020870001;89,1250991821;110,0100021362;4,5317001343;73,3210983276;179,0630035400;91,9445037842
2018-11-28;4257,4199218750;34,6265983582;0,3905569911;0,0022460001;99,5145034790;122,4380035400;4,9887599945;79,9494018555;190,0720062256;97,9358978271
2018-11-29;4278,8466796875;33,7974472046;0,3795619905;0,0022410001;96,6628417969;117,5426483154;4,9317140579;87,9581375122;180,9834289551;98,0689315796
2018-11-30;4017,2685546875;32,0647621155;0,3624550104;0,0021650000;91,8704071045;113,1714172363;4,6012191772;80,9483871460;173,0668945312;95,2827301025
2018-12-01;4214,6718750000;34,3407363892;0,3729059994;0,0022499999;95,3472595215;118,6355590820;4,8529729843;80,3275299072;172,1233062744;93,5366363525
2018-12-02;4139,8779296875;33,7131500244;0,3676269948;0,0022460001;93,0418930054;116,3889007568;5,1523671150;79,1573944092;172,1134033203;100,3718490601
2018-12-03;3894,1308593750;31,0728015900;0,3487539887;0,0023709999;84,8206634521;108,9250183105;4,5133519173;70,7984237671;159,8182525635;94,4617156982
2018-12-04;3956,8937988281;31,1861248016;0,3522309959;0,0021960000;85,4854202271;110,2141876221;4,4095201492;74,6912155151;149,6589660645;90,1812896729
2018-12-05;3753,9948730469;29,2952384949;0,3382419944;0,0021800001;77,9028549194;102,4755554199;4,0291152000;66,4205932617;130,5410461426;86,3110122681
2018-12-06;3521,1018066406;26,9436607361;0,3109360039;0,0020969999;66,0195465088;91,7610549927;3,5166869164;58,8114509583;107,5927352905;103,6924362183
2018-12-07;3419,9372558594;25,2725849152;0,3019970059;0,0021040000;67,6273651123;93,2945632935;3,8439469337;59,3338584900;106,8524932861;103,8786849976
2018-12-08;3476,1147460938;24,8640174866;0,3072690070;0,0021200001;69,0884017944;92,1596374512;3,8594529629;57,5770874023;104,0475997925;98,6803131104
2018-12-09;3614,2343750000;25,9470233917;0,3133699894;0,0021019999;76,5055160522;95,1420593262;3,9956099987;61,0882186890;109,6179504395;97,4151077271
2018-12-10;3502,6560058594;24,6177997589;0,3037660122;0,0020999999;68,7976760864;91,6856536865;3,9118640423;56,6782073975;107,3141860962;95,3197097778
2018-12-11;3424,5881347656;23,8023834229;0,3013449907;0,0020880001;64,1123428345;88,9453048706;3,7440049648;54,3074951172;102,0729522705;90,2447128296
2018-12-12;3486,9501953125;24,4938297272;0,3073230088;0,0021110000;65,4843292236;90,5932998657;3,9051349163;55,5102500916;102,5921630859;88,8434982300
2018-12-13;3313,6772460938;23,6688613892;0,3000259995;0,0020649999;61,2104797363;86,5393142700;3,8757948875;51,6771202087;90,3022766113;78,3715591431
2018-12-14;3242,4848632812;23,4643306732;0,2887899876;0,0020699999;59,6924285889;84,3082962036;3,7200379372;49,2236709595;80,3707504272;70,2716522217
2018-12-15;3236,7617187500;23,7824249268;0,2858830094;0,0021130000;62,4850540161;84,4408111572;3,6413540840;50,2088890076;77,3657760620;68,1388015747
2018-12-16;3252,8391113281;25,5972099304;0,2879289985;0,0021250001;63,1426162720;85,2621002197;3,6394739151;51,4076385498;81,6390075684;77,3434753418
2018-12-17;3545,8647460938;29,2688903809;0,3284530044;0,0025330000;71,2811508179;95,1338272095;4,0053911209;56,4205398560;90,3450698853;81,6987152100
2018-12-18;3696,0590820312;30,1421566010;0,3501619995;0,0026839999;73,4985198975;101,1124572754;4,2024550438;58,5665245056;105,2007675171;84,6118392944
2018-12-19;3745,9506835938;29,6827869415;0,3519560099;0,0027200000;74,4161987305;101,2685775757;4,4237937927;57,5444717407;128,4480133057;86,5120086670
2018-12-20;4134,4414062500;32,8168716431;0,3781990111;0,0027310001;99,2290344238;116,2168731689;4,7920517921;66,1644363403;194,2309722900;112,0300292969
2018-12-21;3896,5437011719;30,7966175079;0,3585700095;0,0025450001;85,6248397827;109,4962310791;4,5452289581;61,6752967834;194,2956085205;108,4186401367
2018-12-22;4014,1826171875;31,8559112549;0,3623079956;0,0025020000;87,5841751099;116,7594985962;4,6961808205;63,4084625244;196,6685791016;109,0893783569
2018-12-23;3998,9802246094;33,4596748352;0,3712700009;0,0025420000;90,2259292603;130,7652587891;4,9460759163;64,9927139282;197,6628112793;106,9712219238
